participant.id_in_session,participant.risky_urn5_color_code1,participant.risky_urn5_color_code2,participant.risky_urn2_color_code,participant.risky_urn5_num_color1,participant.risky_urn5_num_color2,participant.risky_urn2_num_color,participant.amb1_urn5_color_code1,participant.amb1_urn5_color_code2,participant.amb1_urn2_color_code,participant.amb1_urn5_num_color1,participant.amb1_urn5_num_color2,participant.amb1_urn2_num_color,participant.amb2_urn5_color_code1,participant.amb2_urn5_color_code2,participant.amb2_urn2_color_code,participant.amb2_urn5_num_color1,participant.amb2_urn5_num_color2,participant.amb2_urn2_num_color,session.config.numballs,randomization.1.player.order1,randomization.1.player.order2,randomization.1.player.risk_order,randomization.1.player.ambiguity_order,randomization.1.player.amb1_urn5_colorevent1,randomization.1.player.amb1_urn5_colorevent2,randomization.1.player.amb1_urn2_colorevent,randomization.1.player.risky_urn5_colorevent1,randomization.1.player.risky_urn5_colorevent2,randomization.1.player.risky_urn2_colorevent,randomization.1.player.amb2_urn5_colorevent1,randomization.1.player.amb2_urn5_colorevent2,randomization.1.player.amb2_urn2_colorevent,randomization.1.player.paid_round_1,randomization.1.player.roll_event_1,randomization.1.player.roll_BSR_paid_round_1,randomization.1.player.paid_table_2,randomization.1.player.paid_row_2,randomization.1.player.roll_lottery_2,randomization.1.player.paid_table_3,randomization.1.player.paid_row_3,randomization.1.player.ball_drawn_unknown,randomization.1.player.ball_drawn_known,randomization.1.player.paid_part
1,"[2, 1, 10, 3, 5]","[12, 11, 9, 4, 6]","[7, 8]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 22, 23, 19, 20]","[18, 24, 17, 14, 15]","[13, 16]","[2, 3, 1, 2, 2]","[3, 1, 3, 2, 1]","[6, 4]","[5, 6, 2, 8, 4]","[3, 7, 1, 12, 11]","[9, 10]","[2, 4, 2, 1, 1]","[2, 4, 0, 1, 3]","[7, 3]",10,1,2,1,4,23,14,16,5,4,8,2,12,9,2,1,89.81515332,1,12,23,3,2,1,10,1
2,"[1, 6, 3, 2, 5]","[9, 12, 7, 4, 11]","[8, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[13, 14, 21, 19, 22]","[23, 20, 18, 17, 24]","[15, 16]","[2, 1, 2, 1, 4]","[5, 1, 2, 1, 1]","[6, 4]","[5, 10, 2, 1, 11]","[4, 7, 12, 8, 9]","[3, 6]","[3, 1, 1, 3, 2]","[3, 2, 2, 2, 1]","[1, 9]",10,5,5,5,3,21,23,16,1,4,10,5,7,3,5,2,69.97562039,1,9,61,3,5,4,2,3
3,"[2, 11, 10, 4, 12]","[1, 8, 9, 5, 7]","[3, 6]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[16, 15, 23, 18, 19]","[13, 21, 17, 20, 22]","[14, 24]","[2, 0, 2, 1, 5]","[2, 4, 1, 1, 2]","[8, 2]","[8, 7, 1, 3, 2]","[4, 5, 6, 12, 9]","[10, 11]","[4, 0, 2, 3, 1]","[2, 3, 4, 1, 0]","[3, 7]",10,4,5,6,2,19,21,24,11,1,3,8,4,10,3,6,60.16254522,1,2,23,1,1,5,4,1
4,"[7, 9, 2, 5, 8]","[6, 1, 11, 10, 3]","[4, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[18, 15, 20, 13, 21]","[16, 19, 22, 24, 17]","[14, 23]","[1, 3, 3, 1, 2]","[3, 1, 1, 2, 3]","[5, 5]","[5, 6, 10, 7, 4]","[12, 1, 11, 3, 2]","[8, 9]","[1, 1, 5, 3, 0]","[3, 1, 1, 3, 2]","[6, 4]",10,2,1,5,4,13,17,23,7,10,12,5,3,9,3,3,46.82835871,3,2,40,3,8,3,6,1
5,"[3, 12, 6, 9, 7]","[2, 11, 8, 1, 5]","[4, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[14, 17, 21, 20, 13]","[15, 18, 16, 19, 24]","[22, 23]","[5, 2, 0, 3, 0]","[1, 3, 0, 2, 4]","[6, 4]","[5, 12, 4, 3, 9]","[8, 2, 6, 1, 11]","[7, 10]","[1, 2, 3, 2, 2]","[2, 4, 2, 2, 0]","[7, 3]",10,6,6,3,6,13,19,23,12,11,10,9,2,10,1,2,30.55985155,3,24,72,2,4,4,1,1
6,"[7, 5, 1, 9, 11]","[3, 6, 4, 2, 12]","[8, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[14, 19, 13, 24, 16]","[20, 21, 15, 17, 23]","[18, 22]","[2, 1, 2, 0, 5]","[1, 2, 3, 3, 1]","[4, 6]","[4, 8, 1, 5, 12]","[9, 11, 7, 3, 10]","[2, 6]","[2, 1, 0, 3, 4]","[3, 1, 3, 1, 2]","[4, 6]",10,6,4,5,3,14,15,22,1,3,10,5,10,2,4,5,24.06321741,3,30,47,3,8,4,7,1
7,"[3, 12, 4, 9, 1]","[6, 5, 10, 2, 7]","[8, 11]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[13, 18, 22, 14, 16]","[24, 21, 15, 17, 23]","[19, 20]","[4, 2, 1, 1, 2]","[1, 0, 3, 2, 4]","[6, 4]","[12, 11, 8, 9, 10]","[2, 4, 5, 6, 3]","[1, 7]","[1, 4, 0, 2, 3]","[2, 2, 2, 2, 2]","[1, 9]",10,2,6,4,5,13,21,20,3,6,11,9,3,1,5,7,69.46105566,3,13,66,2,8,1,5,2
8,"[12, 5, 2, 11, 1]","[3, 4, 9, 7, 10]","[6, 8]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 16, 17, 18, 15]","[23, 14, 13, 24, 20]","[19, 22]","[2, 4, 3, 0, 1]","[4, 4, 2, 0, 0]","[6, 4]","[7, 5, 9, 10, 1]","[3, 12, 6, 4, 8]","[2, 11]","[1, 1, 3, 2, 3]","[3, 4, 0, 3, 0]","[3, 7]",10,2,4,3,6,16,14,22,2,9,6,9,12,2,6,3,38.27199919,1,6,91,3,5,3,10,2
9,"[6, 10, 2, 7, 5]","[4, 9, 1, 8, 3]","[11, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[16, 18, 20, 17, 21]","[22, 23, 13, 19, 14]","[15, 24]","[4, 1, 3, 0, 2]","[0, 3, 1, 4, 2]","[7, 3]","[1, 12, 6, 11, 7]","[10, 5, 3, 4, 2]","[8, 9]","[1, 2, 3, 3, 1]","[2, 3, 1, 1, 3]","[6, 4]",10,6,3,5,4,20,23,15,7,1,12,6,2,8,1,4,81.17497174,2,21,68,2,9,2,7,2
10,"[3, 5, 10, 1, 2]","[9, 7, 12, 11, 8]","[4, 6]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[17, 24, 23, 14, 19]","[18, 22, 13, 21, 16]","[15, 20]","[1, 4, 2, 2, 1]","[3, 1, 1, 3, 2]","[4, 6]","[6, 10, 12, 4, 5]","[3, 1, 2, 8, 11]","[7, 9]","[1, 0, 2, 1, 6]","[2, 1, 3, 2, 2]","[5, 5]",10,4,3,2,4,17,21,15,5,7,4,10,3,7,6,7,2.88753266,2,24,62,1,6,2,8,3
